id,platform,accountwallet,assettype,assetname,ticker,amount,nativecurrency,nativeprice,usdprice,totalnative,totalusd,timestamp
180,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,Aave Interest bearing DAI,aDAI-USD,29.206292927826244581,USD,0.98047727051723099211955059217871166765689849853515625,0.98047727051723099211955059217871166765689849853515625,28.63610637180178318832495637,28.63610637180178318832495637,2024-10-06 22:00:59.003992
181,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,Wrapped Ether,WETH-USD,0.015332352941176471,USD,2419.95990758471407389151863753795623779296875,2419.95990758471407389151863753795623779296875,37.10367940658563178232609917,37.10367940658563178232609917,2024-10-06 22:00:59.003992
182,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,Maker,MKR-USD,0.02,USD,1451.964538253708496995386667549610137939453125,1451.964538253708496995386667549610137939453125,29.03929076507416993990773335,29.03929076507416993990773335,2024-10-06 22:00:59.003992
183,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,Dai Stablecoin,DAI-USD,18,USD,0.99936277061457212678163841701461933553218841552734375,0.99936277061457212678163841701461933553218841552734375,17.98852987106229828206949151,17.98852987106229828206949151,2024-10-06 22:00:59.003992
184,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,ether.fi ETH,eETH-USD,0.020346890994380707,USD,2409.0705321037721660104580223560333251953125,2409.0705321037721660104580223560333251953125,49.01709551449017977309169203,49.01709551449017977309169203,2024-10-06 22:00:59.003992
185,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,CRYPTOFORCE,COF-USD,9066236.246704335,USD,0.00000217436890113000012020728728134866258869806188158690929412841796875,0.00000217436890113000012020728728134866258869806188158690929412841796875,19.71334214513148156778506362,19.71334214513148156778506362,2024-10-06 22:00:59.003992
186,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,PAAL AI,$PAAL-USD,1920.989319389,USD,0.225819138378419992374546154678682796657085418701171875,0.225819138378419992374546154678682796657085418701171875,433.7961529385714302767699876,433.7961529385714302767699876,2024-10-06 22:00:59.003992
187,Ethereum,0xb42Bc5C2E168C95f6dbF4AA0733CA0Fa5B15B4F1,Crypto,Ethereum,ETH-USD,9.059570348486367556,USD,2418.31376647571005378267727792263031005859375,2418.31376647571005378267727792263031005859375,21908.88369209972862173697414,21908.88369209972862173697414,2024-10-06 22:00:59.003992
188,Coinbase,DEFAULT,Crypto,SUI,SUI-USD,750.1354000000000041836756281554698944091796875,USD,1.802149851880073766143027379,1.802149851880073766143027379,1351.856399999999894134816713631153106689453125,1351.856399999999894134816713631153106689453125,2024-10-06 22:00:59.003992
189,Coinbase,DEFAULT,Crypto,DOGE,DOGE-USD,8651.400999999999839928932487964630126953125,USD,0.1098750017482717622238978391,0.1098750017482717622238978391,950.5727000000000543877831660211086273193359375,950.5727000000000543877831660211086273193359375,2024-10-06 22:00:59.003992
190,Nordnet,C2019,Crypto,Ethereum,ETHEREUM-XBT.ST,1000,SEK,224.22000122070312,21.62167419179672710386465102,224220.00122070312000,21621.67419179672710386465102,2024-10-07 00:00:53.848017
191,Nordnet,C2020,Crypto,Ethereum,ETHEREUM-XBT.ST,735,SEK,224.22000122070312,21.62167419179672710386465102,164801.70089721679320,15891.93053097059442134051850,2024-10-07 00:00:53.848017
192,Nordnet,C2017,Crypto,Bitcoin,BITCOIN-XBT.ST,125,SEK,2970.110107421875,286.4095651896222889820629883,371263.763427734375,35801.19564870278612275787354,2024-10-07 00:00:53.848017
